Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
test1_raw_1	(19.0, 12.0)	(20.0, 53.0)	(21.0, 200.0)	(22.0, 420.0)	(23.0, 665.0)	(24.0, 1190.0)	(25.0, 2208.0)	(26.0, 4077.0)	(27.0, 6902.0)	(28.0, 11755.0)	(29.0, 18578.0)	(30.0, 28853.0)	(31.0, 46696.0)	(32.0, 115635.0)	(33.0, 629644.0)	(34.0, 18417.0)		
test1_raw_2	(17.0, 13.0)	(18.0, 63.0)	(19.0, 196.0)	(20.0, 461.0)	(21.0, 685.0)	(22.0, 928.0)	(23.0, 1266.0)	(24.0, 1930.0)	(25.0, 3138.0)	(26.0, 5237.0)	(27.0, 8273.0)	(28.0, 13114.0)	(29.0, 20638.0)	(30.0, 33853.0)	(31.0, 63157.0)	(32.0, 198414.0)	(33.0, 522318.0)	(34.0, 11621.0)
test1_trim_1	(23.0, 61.0)	(24.0, 835.0)	(25.0, 1944.0)	(26.0, 3774.0)	(27.0, 6608.0)	(28.0, 11445.0)	(29.0, 18285.0)	(30.0, 28399.0)	(31.0, 46160.0)	(32.0, 115200.0)	(33.0, 629570.0)	(34.0, 18655.0)						
test1_trim_2	(22.0, 8.0)	(23.0, 264.0)	(24.0, 1680.0)	(25.0, 3023.0)	(26.0, 5083.0)	(27.0, 8103.0)	(28.0, 12969.0)	(29.0, 20493.0)	(30.0, 33662.0)	(31.0, 62920.0)	(32.0, 198316.0)	(33.0, 522541.0)	(34.0, 11874.0)					
test2_raw_1	(30.0, 241398.0)																	
test2_raw_2	(30.0, 241398.0)																	
test2_trim_1	(30.0, 239920.0)																	
test2_trim_2	(30.0, 239920.0)																	
