Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
test1_raw_1	(37, 3331.0)	(42, 2698.0)	(47, 3026.0)	(52, 3051.0)	(57, 3139.0)	(62, 3114.0)	(67, 3241.0)	(72, 3409.0)	(77, 3620.0)	(82, 3819.0)	(87, 4014.0)	(92, 4343.0)	(97, 4454.0)	(102, 4727.0)	(107, 4991.0)	(112, 5378.0)	(117, 5540.0)	(122, 5939.0)	(127, 6128.0)	(132, 6524.0)	(137, 6692.0)	(142, 7207.0)	(147, 73927.0)	(151, 712993.0)																								
test1_raw_2	(37, 3319.0)	(42, 2707.0)	(47, 3020.0)	(52, 3051.0)	(57, 3141.0)	(62, 3122.0)	(67, 3241.0)	(72, 3407.0)	(77, 3621.0)	(82, 3816.0)	(87, 4017.0)	(92, 4338.0)	(97, 4454.0)	(102, 4730.0)	(107, 4996.0)	(112, 5384.0)	(117, 5555.0)	(122, 5961.0)	(127, 6145.0)	(132, 6530.0)	(137, 6697.0)	(142, 7233.0)	(147, 73494.0)	(151, 713326.0)																								
test1_trim_1	(32, 741.0)	(37, 2442.0)	(42, 2703.0)	(47, 3032.0)	(52, 3054.0)	(57, 3137.0)	(62, 3124.0)	(67, 3246.0)	(72, 3411.0)	(77, 3624.0)	(82, 3824.0)	(87, 4018.0)	(92, 4348.0)	(97, 4456.0)	(102, 4730.0)	(107, 4988.0)	(112, 5378.0)	(117, 5541.0)	(122, 5938.0)	(127, 6123.0)	(132, 6535.0)	(137, 6688.0)	(142, 7206.0)	(147, 73624.0)	(151, 709025.0)																							
test1_trim_2	(32, 741.0)	(37, 2446.0)	(42, 2713.0)	(47, 3038.0)	(52, 3070.0)	(57, 3147.0)	(62, 3141.0)	(67, 3259.0)	(72, 3425.0)	(77, 3641.0)	(82, 3845.0)	(87, 4043.0)	(92, 4366.0)	(97, 4477.0)	(102, 4766.0)	(107, 5012.0)	(112, 5414.0)	(117, 5593.0)	(122, 6001.0)	(127, 6185.0)	(132, 6587.0)	(137, 6716.0)	(142, 7311.0)	(147, 73196.0)	(151, 708803.0)																							
test2_raw_1	(251, 241398.0)																																															
test2_raw_2	(251, 241398.0)																																															
test2_trim_1	(17, 16.0)	(22, 12.0)	(27, 32.0)	(32, 192.0)	(37, 244.0)	(42, 248.0)	(47, 297.0)	(52, 338.0)	(57, 372.0)	(62, 444.0)	(67, 485.0)	(72, 599.0)	(77, 645.0)	(82, 755.0)	(87, 826.0)	(92, 848.0)	(97, 922.0)	(102, 1086.0)	(107, 1139.0)	(112, 1281.0)	(117, 1403.0)	(122, 1469.0)	(127, 1573.0)	(132, 1585.0)	(137, 1751.0)	(142, 1856.0)	(147, 1894.0)	(152, 1974.0)	(157, 2094.0)	(162, 2139.0)	(167, 2233.0)	(172, 2337.0)	(177, 2467.0)	(182, 2400.0)	(187, 2524.0)	(192, 2578.0)	(197, 2801.0)	(202, 2769.0)	(207, 2809.0)	(212, 2825.0)	(217, 2971.0)	(222, 2961.0)	(227, 3053.0)	(232, 3148.0)	(237, 3102.0)	(242, 3173.0)	(247, 3254.0)	(251, 163996.0)
test2_trim_2	(32, 178.0)	(37, 244.0)	(42, 248.0)	(47, 297.0)	(52, 338.0)	(57, 369.0)	(62, 443.0)	(67, 480.0)	(72, 595.0)	(77, 642.0)	(82, 748.0)	(87, 822.0)	(92, 841.0)	(97, 920.0)	(102, 1077.0)	(107, 1133.0)	(112, 1269.0)	(117, 1394.0)	(122, 1454.0)	(127, 1557.0)	(132, 1572.0)	(137, 1732.0)	(142, 1840.0)	(147, 1878.0)	(152, 1957.0)	(157, 2073.0)	(162, 2121.0)	(167, 2208.0)	(172, 2303.0)	(177, 2432.0)	(182, 2368.0)	(187, 2495.0)	(192, 2540.0)	(197, 2749.0)	(202, 2723.0)	(207, 2760.0)	(212, 2763.0)	(217, 2896.0)	(222, 2902.0)	(227, 3004.0)	(232, 3087.0)	(237, 3023.0)	(242, 3041.0)	(247, 3135.0)	(251, 165269.0)			
