Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
test1_raw_1	(1.0, 43.74168879891596)	(2.0, 23.62736123254008)	(3.0, 13.096962250050328)	(4.0, 7.335595581537029)	(5.0, 4.207980280277874)	(6.0, 2.6165958538144043)	(7.0, 1.5461404385681852)	(8.0, 1.0060344978518472)	(9.0, 0.6762617109952063)	('>10', 2.113154233866649)	('>50', 0.03222512158242642)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
test1_raw_2	(1.0, 45.08794643386017)	(2.0, 23.136897113782958)	(3.0, 12.752165715521235)	(4.0, 7.106302938273461)	(5.0, 4.187178748775969)	(6.0, 2.337705609754398)	(7.0, 1.576972222132827)	(8.0, 0.9209073692341191)	(9.0, 0.6256756174196154)	('>10', 2.0115131380900677)	('>50', 0.023776330604099526)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.2329587625510477)	('>5k', 0.0)	('>10k+', 0.0)
test1_trim_1	(1.0, 43.65486411497658)	(2.0, 23.680592189071213)	(3.0, 13.122996462636682)	(4.0, 7.370710901905647)	(5.0, 4.2001976520105515)	(6.0, 2.6200203143783374)	(7.0, 1.5350601120005907)	(8.0, 1.0122465491856354)	(9.0, 0.6563395990043258)	('>10', 2.1145867146078587)	('>50', 0.03238539022256636)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
test1_trim_2	(1.0, 44.89387227897717)	(2.0, 23.22721087379928)	(3.0, 12.800546611337271)	(4.0, 7.1229860780058)	(5.0, 4.209097055628023)	(6.0, 2.3585074528491674)	(7.0, 1.5862119086696702)	(8.0, 0.9182830385881786)	(9.0, 0.6315657875469025)	('>10', 2.023670438567911)	('>50', 0.023894330007553716)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.20415414602308846)	('>5k', 0.0)	('>10k+', 0.0)
test2_raw_1	(1.0, 91.2032477246549)	(2.0, 6.959693495189903)	(3.0, 0.7950882164859379)	(4.0, 0.2587244925717641)	(5.0, 0.13933578048671624)	(6.0, 0.07226124046932583)	(7.0, 0.014819472291719281)	(8.0, 0.023500487749489287)	(9.0, 0.0037321150191523245)	('>10', 0.05686240598846967)	('>50', 0.03566243240523332)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.43707213668739436)	('>5k', 0.0)	('>10k+', 0.0)
test2_raw_2	(1.0, 93.32782635336022)	(2.0, 5.373379682613756)	(3.0, 0.58440951902319)	(4.0, 0.188711071561875)	(5.0, 0.10428591242968371)	(6.0, 0.038821163297993684)	(7.0, 0.029714665331763045)	(8.0, 0.006730298335956497)	(9.0, 0.003739606250192001)	('>10', 0.049445904863649796)	('>50', 0.0)	('>100', 0.0)	('>500', 0.2929358229317067)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
test2_trim_1	(1.0, 91.81591323768527)	(2.0, 6.95134297560434)	(3.0, 0.7639708774096976)	(4.0, 0.23767547012638035)	(5.0, 0.12674602319648076)	(6.0, 0.059675773016893786)	(7.0, 0.011918881441972066)	(8.0, 0.020250513729924938)	(9.0, 0.003751874336720669)	('>10', 0.008754373452348228)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
test2_trim_2	(1.0, 93.77512049869935)	(2.0, 5.344633845379746)	(3.0, 0.5792407318084357)	(4.0, 0.16892705362078006)	(5.0, 0.0780240688205407)	(6.0, 0.023403972210466504)	(7.0, 0.023886707450207694)	(8.0, 0.006763122010477892)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
